student number: ,Age: 18,Gender: 1
Original Word,Word,RT
CL__K,CLOAK,9435
SH__,SHOW,5594
__OK,CLOK,3613
BUR__D,BURNED,5603
_O_SE,CORSE,5080
MU__,MUNT,4107
